product_name,product_url,product_price,product_rating,product_shipping,product_reviews,childrens_mask,z_score_price,ear_loops,mask_pack,reusable
"12 Pcs 6-14 Years Kids Bandanas Neck Gaiter With Filters Balaclava, Half Face Protective Masks, Magical Multi Funtion",https://www.amazon.com/dp/B0872RMJJD/ref=sr_1_32?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-32,18,4,FREE: Orders over $25,62,1,0.24499755,0,1,0
"MIAODAM Adjustable Mask extender Strap Mask Extender, Masks Extension Hook for Extending Masks Buckle Band for Adults Kids (5, pink)",https://www.amazon.com/MIAODAM-Adjustable-extender-Extension-Extending/dp/B087WPPLV5/ref=sr_1_33?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-33,8,4.2,FREE: Orders over $25,83,1,-0.940741012,0,0,0
Fashion Washable Windproof Cotton Face Mask for Child Cute Smart Mask (Yellow) Reusable/INSIDE: 1 MASK and 2PCS Replacement Filters,https://www.amazon.com/M%C3%A1scara-algod%C3%B3n-lavable-antipolvo-resistente/dp/B07L41GDG8/ref=sr_1_34?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-34,24,4.6,FREE: Orders over $25,29,1,0.956440687,0,1,1
ZUBREX Disposable 3 Ply Safety Face Mask for Protection - with Nanofiber Filter Lining - and Elastic Earloops - 50 Pcs,https://www.amazon.com/ZUBREX-Disposable-Safety-Face-Protection/dp/B088BY7YPX/ref=sr_1_35?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-35,29,3.9,FREE Shipping by Amazon,121,1,1.549309968,1,1,0
Unisex Washable and Reusable Soft Cotton Material Galaxy Color Warm Face Protection for Outdoor,https://www.amazon.com/Washable-Reusable-Material-Protection-Outdoor/dp/B088GNK5WH/ref=sr_1_36?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-36,12,4.6,FREE: Orders over $25,75,1,-0.466445588,0,0,1
Cartoon bears cotton dustproof for children Blue,https://www.amazon.com/dibujos-animados-algod%C3%B3n-prueba-polvo/dp/B088QC6QBF/ref=sr_1_37?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-37,17,4.9,FREE: Orders over $25,15,1,0.126423693,0,0,0
"50pcs Disposable Másk 3 Layer Face Cover with Safety Certification Instructions Animal Pattern Face Respirator for Kids Adults (50pcs, Green)",https://www.amazon.com/Disposable-Certification-Instructions-Pattern-Respirator/dp/B086MT9LMH/ref=sr_1_38?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-38,NA,3.8,Charge,4,1,NA,0,1,0
"Kids Reusable Breathable Seamless Face Bandanas 4PCS with Breathing Valve Dustproof Solid Color,Haze Dust Face Health Washable",https://www.amazon.com/Reusable-Breathable-Seamless-Breathing-Dustproof/dp/B088X1QBWW/ref=sr_1_39?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-39,19,2.4,FREE Shipping,3,1,0.363571406,0,1,1
Face Cotton with Breathing valve With 2pcs Activated Carbon Replaceable Filters For Children Kids,https://www.amazon.com/Breathing-Activated-Replaceable-Filters-Children/dp/B088YLJBQL/ref=sr_1_40?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-40,16,3.6,FREE Shipping,10,1,0.007849837,0,1,0
Unisex Washable and Reusable Cotton Warm Face Protection for Outdoor,https://www.amazon.com/Unisex-Washable-Reusable-Protection-Outdoor/dp/B088FVJTXG/ref=sr_1_41?crid=2XM5SAT5P3J0T&dchild=1&keywords=childrens+face+mask&qid=1592380160&sprefix=children%2Caps%2C205&sr=8-41,12,3.9,FREE: Orders over $25,43,1,-0.466445588,0,0,1
